Product,Container ID,Container Title,Container Display Name,Container Active,Container Mode,Question ID,Question Old ID,Question Level,Question Type,Question Active,Question (Main) Tag
פסיכומטרי,55375,גיאומטריה חיזוק,גיאומטריה חיזוק,1,Predetermined,243,A_9210,2.5,Image and text,1,משולשים
פסיכומטרי,69473,תרגול נוסף - גיאומטריה,תרגול נוסף - גיאומטריה,1,Predetermined,243,A_9210,2.5,Image and text,1,משולשים
פסיכומטרי,69473,תרגול נוסף - גיאומטריה,תרגול נוסף - גיאומטריה,1,Predetermined,244,A_9211,3,Image and text,1,משולשים
פסיכומטרי,57577,assignment container,assignment container,1,Predetermined,258,תא - 100 - 4,6,English layout,1,Sentence Completions
פסיכומטרי,58530,תרגול נוסף - אנגלית,תרגול נוסף - אנגלית,1,Predetermined,261,תא - 100 - 7,2,English layout,1,Sentence Completions
פסיכומטרי,55377,שאלות פסקה חיזוק,שאלות פסקה חיזוק,1,Predetermined,268,חדש,6,Numeric bullet single choice,1,שאלות פסקה
פסיכומטרי,57577,assignment container,assignment container,1,Predetermined,275,תא - 101 - 12,5,English layout,1,Sentence Completions
פסיכומטרי,62608,assignment container,assignment container,1,Predetermined,310,תא - 105 - 41,4,English layout,1,Sentence Completions
פסיכומטרי,62608,assignment container,assignment container,1,Predetermined,314,תא - 105 - 45,7,English layout,1,Sentence Completions
פסיכומטרי,62616,תרגול נוסף - אלגברה,תרגול נוסף - אלגברה,1,Predetermined,320,חדש,7,Numeric bullet single choice,1,ביטויים
פסיכומטרי,58530,תרגול נוסף - אנגלית,תרגול נוסף - אנגלית,1,Predetermined,341,תא - 106 - 53,8,English layout,1,Sentence Completions
פסיכומטרי,57576,תרגול נוסף - אנגלית,תרגול נוסף - אנגלית,1,Predetermined,361,תא - 109 - 71,5,English layout,1,Sentence Completions
פסיכומטרי,15,טווחים מקבץ חלשים ז.גבוהה,תרגול מותאם אישית,1,Predetermined,381,סח-2-15,4,Numeric bullet single choice,1,אי-שוויון
פסיכומטרי,16,טווחים מקבץ חזקים ז.גבוהה,תרגול מותאם אישית,1,Predetermined,383,סח-4-16,5,Numeric bullet single choice,1,אי-שוויון
פסיכומטרי,16,טווחים מקבץ חזקים ז.גבוהה,תרגול מותאם אישית,1,Predetermined,384,סח-5-16,6.5,Numeric bullet single choice,1,אי-שוויון
פסיכומטרי,62616,תרגול נוסף - אלגברה,תרגול נוסף - אלגברה,1,Predetermined,399,סח - 12 - 18,5,Numeric bullet single choice,1,משוואות
פסיכומטרי,24544,פעולות מומצאות,פעולות מומצאות,1,Predetermined,403,סח-02-29,3,Numeric bullet single choice,1,פעולות מומצאות
פסיכומטרי,24544,פעולות מומצאות,פעולות מומצאות,1,Predetermined,404,סח-03-29,3,Numeric bullet single choice,1,פעולות מומצאות
פסיכומטרי,24544,פעולות מומצאות,פעולות מומצאות,1,Predetermined,408,סח - 30 - 04,3,Numeric bullet single choice,1,פעולות מומצאות
פסיכומטרי,24544,פעולות מומצאות,פעולות מומצאות,1,Predetermined,410,סח - 30 - 06,5,Numeric bullet single choice,1,פעולות מומצאות
פסיכומטרי,24544,פעולות מומצאות,פעולות מומצאות,1,Predetermined,411,סח - 30 - 07,4,Numeric bullet single choice,1,פעולות מומצאות
פסיכומטרי,16,טווחים מקבץ חזקים ז.גבוהה,תרגול מותאם אישית,1,Predetermined,414,סח-12-18,5,Numeric bullet single choice,1,אי-שוויון
פסיכומטרי,62616,תרגול נוסף - אלגברה,תרגול נוסף - אלגברה,1,Predetermined,414,סח-12-18,5,Numeric bullet single choice,1,אי-שוויון
פסיכומטרי,924,מפגש 18 פירוט שיטתי,תרגול פירוט שיטתי,1,Predetermined,444,סח - 47 - 13,7,Numeric bullet single choice,1,חיובי שלילי וערך מוחלט
פסיכומטרי,57576,תרגול נוסף - אנגלית,תרגול נוסף - אנגלית,1,Predetermined,457,תא - 110 - 78,5,English layout,1,Sentence Completions
פסיכומטרי,57577,assignment container,assignment container,1,Predetermined,457,תא - 110 - 78,5,English layout,1,Sentence Completions
פסיכומטרי,999,ביטויים חלשים 2,מקבץ 2,1,Predetermined,517,סח - 23 - 9,4,Numeric bullet single choice,1,ביטויים
פסיכומטרי,998,ביטויים חלשים 1,מקבץ 1,1,Predetermined,526,סח - 24 - 12,5,Numeric bullet single choice,1,ביטויים
פסיכומטרי,1000,ביטויים חזקים 1,מקבץ 1,1,Predetermined,526,סח - 24 - 12,5,Numeric bullet single choice,1,ביטויים
פסיכומטרי,924,מפגש 18 פירוט שיטתי,תרגול פירוט שיטתי,1,Predetermined,532,חדש,6,Numeric bullet single choice,1,שלמים
פסיכומטרי,11082,assignment container,assignment container,1,Predetermined,538,סח - 26 - 19,8,Numeric bullet single choice,1,ביטויים
פסיכומטרי,15,טווחים מקבץ חלשים ז.גבוהה,תרגול מותאם אישית,1,Predetermined,546,סח - 73 - 3,2,Numeric bullet single choice,1,אי-שוויון
פסיכומטרי,15,טווחים מקבץ חלשים ז.גבוהה,תרגול מותאם אישית,1,Predetermined,551,סח - 74 - 5,3,Numeric bullet single choice,1,אי-שוויון
פסיכומטרי,62616,תרגול נוסף - אלגברה,תרגול נוסף - אלגברה,1,Predetermined,555,סח - 76 - 9,8,Numeric bullet single choice,1,משוואות
פסיכומטרי,15,טווחים מקבץ חלשים ז.גבוהה,תרגול מותאם אישית,1,Predetermined,560,סח - 77 - 2,3,Numeric bullet single choice,1,אי-שוויון
פסיכומטרי,56471,תרגול נוסף - ניסוח מחדש,תרגול נוסף - ניסוח מחדש,1,Predetermined,563,תא - 157 - 5,2,English layout,1,Restatements
פסיכומטרי,62609,assignment container,assignment container,1,Predetermined,567,תא - 157 - 6,4,English layout,1,Restatements
פסיכומטרי,57577,assignment container,assignment container,1,Predetermined,569,תא - 157 - 7,5,English layout,1,Restatements
פסיכומטרי,62609,assignment container,assignment container,1,Predetermined,573,תא - 158 - 9,5,English layout,1,Restatements
פסיכומטרי,57577,assignment container,assignment container,1,Predetermined,575,תא - 158 - 11,5,English layout,1,Restatements
פסיכומטרי,9474,ניסוח מחדש,ניסוח מחדש,1,Predetermined,580,תא - 160 - 16,9,English layout,1,Restatements
פסיכומטרי,924,מפגש 18 פירוט שיטתי,תרגול פירוט שיטתי,1,Predetermined,589,סח  -  57  -  26,3,Numeric bullet single choice,1,חלוקה
פסיכומטרי,999,ביטויים חלשים 2,מקבץ 2,1,Predetermined,593,סח - 79 - 7,4,Numeric bullet single choice,1,ביטויים
פסיכומטרי,9474,ניסוח מחדש,ניסוח מחדש,1,Predetermined,605,תא - 160 - 18,6,English layout,1,Restatements
פסיכומטרי,56471,תרגול נוסף - ניסוח מחדש,תרגול נוסף - ניסוח מחדש,1,Predetermined,605,תא - 160 - 18,6,English layout,1,Restatements
פסיכומטרי,11082,assignment container,assignment container,1,Predetermined,616,סח - 84 - 9,7,Numeric bullet single choice,1,התנהגות אלגברית
פסיכומטרי,56471,תרגול נוסף - ניסוח מחדש,תרגול נוסף - ניסוח מחדש,1,Predetermined,621,תא - 162 - 22,5,English layout,1,Restatements
פסיכומטרי,62609,assignment container,assignment container,1,Predetermined,626,תא - 163 - 25,5,English layout,1,Restatements
פסיכומטרי,24544,פעולות מומצאות,פעולות מומצאות,1,Predetermined,649,סח - 31 - 09,3,Numeric bullet single choice,1,פעולות מומצאות
פסיכומטרי,24544,פעולות מומצאות,פעולות מומצאות,1,Predetermined,652,סח - 32 -12,4.5,Numeric bullet single choice,1,פעולות מומצאות
פסיכומטרי,55375,גיאומטריה חיזוק,גיאומטריה חיזוק,1,Predetermined,659,סח - 97 - 1,4,Numeric bullet single choice,1,מרובעים
פסיכומטרי,55375,גיאומטריה חיזוק,גיאומטריה חיזוק,1,Predetermined,666,סח - 97 - 4,3.5,Image and text,1,מרובעים
פסיכומטרי,69473,תרגול נוסף - גיאומטריה,תרגול נוסף - גיאומטריה,1,Predetermined,670,סח - 98 - 5,7,Image and text,1,מרובעים
פסיכומטרי,212,גאומטריה פסיכומטרית מקבץ סרטוט גמיש,תרגול סרטוט גמיש,1,Predetermined,684,סח  - 108  -  10,7,Image and text,1,מעגלים
פסיכומטרי,59904,תרגול נוסף - מעגלים,תרגול נוסף - מעגלים,1,Predetermined,685,סח  -  108  -  11,5,Image and text,1,מעגלים
פסיכומטרי,55375,גיאומטריה חיזוק,גיאומטריה חיזוק,1,Predetermined,687,סח  -  109  -  13,4,Image and text,1,מעגלים
פסיכומטרי,59904,תרגול נוסף - מעגלים,תרגול נוסף - מעגלים,1,Predetermined,688,סח -  109 -  14,6,Image and text,1,מעגלים
פסיכומטרי,62608,assignment container,assignment container,1,Predetermined,704,אנ - 92 - 88,7,English layout,1,Sentence Completions
פסיכומטרי,212,גאומטריה פסיכומטרית מקבץ סרטוט גמיש,תרגול סרטוט גמיש,1,Predetermined,716,סח  -  114  -  28,9,Image and text,1,מעגלים
פסיכומטרי,211,גאומטריה פסיכומטרית מקבץ הצבה,תרגול הצבת מספרים,1,Predetermined,718,סח - 101 - 14,8,Image and text,1,מרובעים
פסיכומטרי,212,גאומטריה פסיכומטרית מקבץ סרטוט גמיש,תרגול סרטוט גמיש,1,Predetermined,720,סח - 101 - 15,6.5,Image and text,1,מרובעים
פסיכומטרי,278,חזרות מפגש 7 דמיון חלשים,דמיון - תרגול חזרה,1,Predetermined,721,סח  -  117  -  1,2,Image and text,1,דמיון צורות
פסיכומטרי,279,חזרות מפגש 7 דמיון חזקים,דמיון - תרגול חזרה,1,Predetermined,721,סח  -  117  -  1,2,Image and text,1,דמיון צורות
פסיכומטרי,278,חזרות מפגש 7 דמיון חלשים,דמיון - תרגול חזרה,1,Predetermined,724,סח  -  117  -  3,2,Image and text,1,דמיון צורות
פסיכומטרי,279,חזרות מפגש 7 דמיון חזקים,דמיון - תרגול חזרה,1,Predetermined,724,סח  -  117  -  3,2,Image and text,1,דמיון צורות
פסיכומטרי,278,חזרות מפגש 7 דמיון חלשים,דמיון - תרגול חזרה,1,Predetermined,727,סח  -  118  -  6,5,Image and text,1,דמיון צורות
פסיכומטרי,279,חזרות מפגש 7 דמיון חזקים,דמיון - תרגול חזרה,1,Predetermined,727,סח  -  118  -  6,5,Image and text,1,דמיון צורות
פסיכומטרי,211,גאומטריה פסיכומטרית מקבץ הצבה,תרגול הצבת מספרים,1,Predetermined,728,סח - 102 - 17,6.5,Image and text,1,מרובעים
פסיכומטרי,279,חזרות מפגש 7 דמיון חזקים,דמיון - תרגול חזרה,1,Predetermined,730,סח  -  119  -  8,7,Image and text,1,דמיון צורות
פסיכומטרי,56471,תרגול נוסף - ניסוח מחדש,תרגול נוסף - ניסוח מחדש,1,Predetermined,736,תא - 163 - 27,7,English layout,1,Restatements
