container_id,old_question_id,new_question_id,no_substitute_in_subject,avg_delta
62616,399,1281,,-0.03
15,381,9816,,-0.10
16,383,9885,,+0.10
16,384,9896,,-0.05
16,414,1765,,+0.10
999,517,1352,,+0.10
11082,538,1352,,-0.15
24544,403,357,,+0.10
24544,404,1373,,+0.10
24544,408,1980,,+0.10
24544,410,9907,,+0.00
24544,411,9900,,+0.00
24544,649,272,,+0.05
24544,652,332,,-0.03
924,444,10070,,-0.38
924,589,10095,,+0.12
15,546,9857,,+0.10
15,551,9857,,+0.00
62616,555,1384,,-0.18
15,560,9871,,+0.00
999,593,951,,+0.10
11082,616,9998,,-0.10
987,1133,3669,,+0.15
987,1134,13625,,+0.15
987,3179,9590,,-0.10
987,3187,9590,,-0.20
55375,659,1966,,+0.03
55375,666,3511,,+0.05
69473,670,250,,-0.15
211,718,3522,,-0.33
212,720,3464,,+0.08
211,728,3662,,-0.08
220,766,3192,,-0.33
212,684,10145,,+0.00
59904,685,2731,,+0.03
55375,687,3512,,+0.03
59904,688,10139,,-0.05
212,716,10145,,-0.33
278,721,3237,,+0.31
278,724,10431,,+0.25
278,727,10431,,-0.12
279,730,10300,,-0.20
59904,814,10300,,-0.10
55375,767,3524,,+0.03
59904,769,10407,,-0.10
11082,802,10409,,-0.20
9333,972,10371,,-0.10
213,980,3867,,+0.17
987,982,9826,,+0.00
213,986,3557,,+0.00
55375,991,4377,,+0.03
211,1008,1676,,+0.00
921,1052,10410,,-0.21
921,1053,1971,,+0.17
278,1055,10432,,+0.25
212,1056,10199,,+0.33
987,1060,9826,,+0.20
221,3506,10139,,-0.19
5220,3885,9378,,+0.05
5220,3937,9382,,-0.03
277,966,9730,,+0.00
10574,969,9727,,+0.10
277,996,9730,,+0.10
277,997,2114,,+0.10
921,999,9736,,+0.00
13550,1000,9727,,+0.15
277,1001,2124,,+0.00
277,1005,2140,,-0.20
10574,1042,2115,,-0.10
277,1043,2149,,-0.10
10574,1044,2146,,-0.10
10574,1047,3376,,-0.10
2,760,1068,,-0.40
924,875,10165,,+0.06
924,887,10165,,+0.25
13550,1102,3606,,-0.20
921,1116,10214,,-0.08
1011,3341,1074,,+0.25
5220,3349,1081,,+0.00
5220,3353,1099,,+0.05
13550,3355,2125,,+0.03
13550,3360,3608,,+0.00
10574,7483,,הסקה מתרשים,
318,7586,,הסקה מתרשים,
318,7587,,הסקה מתרשים,
318,7588,,הסקה מתרשים,
318,7589,,הסקה מתרשים,
728,7601,,הסקה מתרשים,
728,7603,,הסקה מתרשים,
728,7604,,הסקה מתרשים,
728,7605,,הסקה מתרשים,
319,7606,,הסקה מתרשים,
319,7607,,הסקה מתרשים,
319,7608,,הסקה מתרשים,
319,7609,,הסקה מתרשים,
10574,3547,3617,,-0.05
22136,10385,1378,,+0.20
13346,4914,9004,,+0.05
8395,4909,9986,,-0.05
8395,4917,10012,,+0.00
8395,5069,1790,,-0.15
