Product,Assignment ID,Assignment Name,Unit Type,Unit ID,Unit Name,Unit Active,Unit Mode,Unit Rules
פסיכומטרי,1,כלליות 1 זמינות נמוכה,atomic,1,סרטון שיעור בעיות כלליות 1,1,N/A,זמינות שעות  >= 15
פסיכומטרי,1,כלליות 1 זמינות נמוכה,atomic,41,דגשים משיעור בעיות כלליות 1,1,N/A,זמינות שעות  >= 15
פסיכומטרי,1,כלליות 1 זמינות נמוכה,atomic,43,הנחיות לכלליות 1 מקבץ הצבת מספרים,1,N/A,זמינות שעות  >= 15
פסיכומטרי,1,כלליות 1 זמינות נמוכה,atomic,44,הנחיות לכלליות 1 מקבץ הצבת תשובות,1,N/A,זמינות שעות  >= 15
פסיכומטרי,1,כלליות 1 זמינות נמוכה,atomic,471,הנחיות לכלליות 1 מקבץ כללי,1,N/A,זמינות שעות  >= 15
פסיכומטרי,1,כלליות 1 זמינות נמוכה,container,1,תרגול הצבת מספרים,1,Predetermined,זמינות שעות  >= 15
פסיכומטרי,1,כלליות 1 זמינות נמוכה,container,2,תרגול הצבת תשובות,1,Predetermined,זמינות שעות  >= 15
פסיכומטרי,1,כלליות 1 זמינות נמוכה,container,972,תרגול בעיות כלליות,1,Predetermined,זמינות שעות  >= 15
פסיכומטרי,2,כלליות 1 זמינות גבוהה חזקים,atomic,1,סרטון שיעור בעיות כלליות 1,1,N/A,"זמינות שעות  < 15,כלליות 1  < 5"
פסיכומטרי,2,כלליות 1 זמינות גבוהה חזקים,atomic,41,דגשים משיעור בעיות כלליות 1,1,N/A,"זמינות שעות  < 15,כלליות 1  < 5"
פסיכומטרי,2,כלליות 1 זמינות גבוהה חזקים,atomic,42,תרגול כלליות 1 מהספר - חצי ראשון,1,N/A,"זמינות שעות  < 15,כלליות 1  < 5"
פסיכומטרי,2,כלליות 1 זמינות גבוהה חזקים,atomic,43,הנחיות לכלליות 1 מקבץ הצבת מספרים,1,N/A,"זמינות שעות  < 15,כלליות 1  < 5"
פסיכומטרי,2,כלליות 1 זמינות גבוהה חזקים,atomic,44,הנחיות לכלליות 1 מקבץ הצבת תשובות,1,N/A,"זמינות שעות  < 15,כלליות 1  < 5"
פסיכומטרי,2,כלליות 1 זמינות גבוהה חזקים,atomic,254,הנחיות מקבץ שאלה בודדת כללי,1,N/A,"זמינות שעות  < 15,כלליות 1  < 5"
פסיכומטרי,2,כלליות 1 זמינות גבוהה חזקים,container,1,תרגול הצבת מספרים,1,Predetermined,"זמינות שעות  < 15,כלליות 1  < 5"
פסיכומטרי,2,כלליות 1 זמינות גבוהה חזקים,container,2,תרגול הצבת תשובות,1,Predetermined,"זמינות שעות  < 15,כלליות 1  < 5"
פסיכומטרי,2,כלליות 1 זמינות גבוהה חזקים,container,13,תרגול מותאם אישית,1,Random,"זמינות שעות  < 15,כלליות 1  < 5"
פסיכומטרי,3,כלליות 1 זמינות גבוהה חלשים,atomic,1,סרטון שיעור בעיות כלליות 1,1,N/A,"זמינות שעות  < 15,כלליות 1  >= 5"
פסיכומטרי,3,כלליות 1 זמינות גבוהה חלשים,atomic,41,דגשים משיעור בעיות כלליות 1,1,N/A,"זמינות שעות  < 15,כלליות 1  >= 5"
פסיכומטרי,3,כלליות 1 זמינות גבוהה חלשים,atomic,42,תרגול כלליות 1 מהספר - חצי ראשון,1,N/A,"זמינות שעות  < 15,כלליות 1  >= 5"
פסיכומטרי,3,כלליות 1 זמינות גבוהה חלשים,atomic,43,הנחיות לכלליות 1 מקבץ הצבת מספרים,1,N/A,"זמינות שעות  < 15,כלליות 1  >= 5"
פסיכומטרי,3,כלליות 1 זמינות גבוהה חלשים,atomic,44,הנחיות לכלליות 1 מקבץ הצבת תשובות,1,N/A,"זמינות שעות  < 15,כלליות 1  >= 5"
פסיכומטרי,3,כלליות 1 זמינות גבוהה חלשים,atomic,254,הנחיות מקבץ שאלה בודדת כללי,1,N/A,"זמינות שעות  < 15,כלליות 1  >= 5"
פסיכומטרי,3,כלליות 1 זמינות גבוהה חלשים,container,1,תרגול הצבת מספרים,1,Predetermined,"זמינות שעות  < 15,כלליות 1  >= 5"
פסיכומטרי,3,כלליות 1 זמינות גבוהה חלשים,container,2,תרגול הצבת תשובות,1,Predetermined,"זמינות שעות  < 15,כלליות 1  >= 5"
פסיכומטרי,3,כלליות 1 זמינות גבוהה חלשים,container,14,תרגול מותאם אישית,1,Random,"זמינות שעות  < 15,כלליות 1  >= 5"
פסיכומטרי,4,מבדק אבחון רמה 0424,atomic,112,הנחיות מבדק אבחון רמה,1,N/A,NULL
פסיכומטרי,4,מבדק אבחון רמה 0424,atomic,146,"הנחיות הזנת אבר""מ בגוגל",1,N/A,NULL
פסיכומטרי,5,מיומנויות שפה באנגלית 1 חזקים,atomic,54,הנחיות לקריאה באנגלית,1,N/A,רמת התלמיד Reading Comprehension  < 5
פסיכומטרי,5,מיומנויות שפה באנגלית 1 חזקים,atomic,55,מבוא מילון אנגלית,1,N/A,רמת התלמיד Reading Comprehension  < 5
פסיכומטרי,6,מיומנויות שפה באנגלית 1 חלשים,atomic,54,הנחיות לקריאה באנגלית,1,N/A,רמת התלמיד Reading Comprehension  >= 5
פסיכומטרי,6,מיומנויות שפה באנגלית 1 חלשים,atomic,55,מבוא מילון אנגלית,1,N/A,רמת התלמיד Reading Comprehension  >= 5
פסיכומטרי,6,מיומנויות שפה באנגלית 1 חלשים,atomic,56,קטעי קריאה אנגלית 1,1,N/A,רמת התלמיד Reading Comprehension  >= 5
פסיכומטרי,7,אלגברה בסיסית חזקים,atomic,115,פתרונות אלגברה בסיסית,1,N/A,רמת התלמיד ביטויים  < 4
פסיכומטרי,8,אלגברה בסיסית חלשים,atomic,115,פתרונות אלגברה בסיסית,1,N/A,ביטויים  >= 4
פסיכומטרי,8,אלגברה בסיסית חלשים,atomic,156,בסיס - הנחיות שברים - צמצום,1,N/A,ביטויים  >= 4
פסיכומטרי,8,אלגברה בסיסית חלשים,atomic,158,בסיס - הנחיות שברים - מדומה ומעורב,1,N/A,ביטויים  >= 4
פסיכומטרי,8,אלגברה בסיסית חלשים,atomic,159,בסיס - הנחיות שברים - חיבור חיסור,1,N/A,ביטויים  >= 4
פסיכומטרי,8,אלגברה בסיסית חלשים,atomic,160,בסיס - הנחיות שברים - כפל חילוק,1,N/A,ביטויים  >= 4
פסיכומטרי,8,אלגברה בסיסית חלשים,atomic,161,בסיס - הנחיות שברים עשרוניים,1,N/A,ביטויים  >= 4
פסיכומטרי,8,אלגברה בסיסית חלשים,container,25,תרגול צמצום שברים,1,Predetermined,ביטויים  >= 4
פסיכומטרי,8,אלגברה בסיסית חלשים,container,26,תרגול שברים מדומים ומעורבים,1,Predetermined,ביטויים  >= 4
פסיכומטרי,8,אלגברה בסיסית חלשים,container,27,תרגול חיבור/חיסור שברים,1,Predetermined,ביטויים  >= 4
פסיכומטרי,8,אלגברה בסיסית חלשים,container,28,תרגול כפל/חילוק שברים,1,Predetermined,ביטויים  >= 4
פסיכומטרי,8,אלגברה בסיסית חלשים,container,29,תרגול שברים עשרוניים,1,Predetermined,ביטויים  >= 4
פסיכומטרי,9,משוואות חזקים,atomic,20,סרטון שיעור משוואות,1,N/A,רמת התלמיד משוואות  < 6
פסיכומטרי,9,משוואות חזקים,atomic,58,דגשים משיעור משוואות,1,N/A,רמת התלמיד משוואות  < 6
פסיכומטרי,9,משוואות חזקים,atomic,113,פתרונות מערכת משוואות חזקים,1,N/A,רמת התלמיד משוואות  < 6
פסיכומטרי,9,משוואות חזקים,atomic,116,פתרונות משוואות חזקים,1,N/A,רמת התלמיד משוואות  < 6
פסיכומטרי,9,משוואות חזקים,atomic,148,הנחיות למשוואות מקבץ הצבת תשובות,1,N/A,רמת התלמיד משוואות  < 6
פסיכומטרי,9,משוואות חזקים,atomic,149,הנחיות למשוואות מקבץ מערכת משוואות,1,N/A,רמת התלמיד משוואות  < 6
פסיכומטרי,9,משוואות חזקים,container,9,תרגול מותאם אישית,1,Random,רמת התלמיד משוואות  < 6
פסיכומטרי,9,משוואות חזקים,container,10,תרגול מותאם אישית,1,Random,רמת התלמיד משוואות  < 6
פסיכומטרי,10,משוואות חלשים,atomic,20,סרטון שיעור משוואות,1,N/A,משוואות  >= 6
פסיכומטרי,10,משוואות חלשים,atomic,50,בסיס - משוואות,1,N/A,משוואות  >= 6
פסיכומטרי,10,משוואות חלשים,atomic,51,בסיס - מערכת משוואות,1,N/A,משוואות  >= 6
פסיכומטרי,10,משוואות חלשים,atomic,58,דגשים משיעור משוואות,1,N/A,משוואות  >= 6
פסיכומטרי,10,משוואות חלשים,atomic,117,פתרונות משוואות חלשים,1,N/A,משוואות  >= 6
פסיכומטרי,10,משוואות חלשים,atomic,118,פתרונות מערכת משוואות חלשים,1,N/A,משוואות  >= 6
פסיכומטרי,11,קווים וזוויות חזקים,atomic,49,הסברים קווים וזוויות,1,N/A,רמת התלמיד קווים וזוויות  < 6
פסיכומטרי,11,קווים וזוויות חזקים,atomic,114,פתרונות קווים וזוויות חזקים,1,N/A,רמת התלמיד קווים וזוויות  < 6
פסיכומטרי,11,קווים וזוויות חזקים,atomic,254,הנחיות מקבץ שאלה בודדת כללי,1,N/A,רמת התלמיד קווים וזוויות  < 6
פסיכומטרי,11,קווים וזוויות חזקים,container,11,תרגול מותאם אישית,1,Random,רמת התלמיד קווים וזוויות  < 6
פסיכומטרי,12,קווים וזוויות חלשים,atomic,46,בסיס - הנחיות קווים וזוויות - ישרים נחתכים,1,N/A,קווים וזוויות  >= 6
פסיכומטרי,12,קווים וזוויות חלשים,atomic,47,בסיס - הנחיות קווים וזוויות - מקבילים,1,N/A,קווים וזוויות  >= 6
פסיכומטרי,12,קווים וזוויות חלשים,atomic,48,פתרונות קווים וזוויות חלשים,1,N/A,קווים וזוויות  >= 6
פסיכומטרי,12,קווים וזוויות חלשים,atomic,49,הסברים קווים וזוויות,1,N/A,קווים וזוויות  >= 6
פסיכומטרי,12,קווים וזוויות חלשים,container,5,זוויות בין ישרים,1,Predetermined,קווים וזוויות  >= 6
פסיכומטרי,12,קווים וזוויות חלשים,container,6,זוויות בין מקבילים,1,Predetermined,קווים וזוויות  >= 6
פסיכומטרי,13,משולשים חזקים,atomic,12,סרטון שיעור משולשים,1,N/A,רמת התלמיד משולשים  < 6
פסיכומטרי,13,משולשים חזקים,atomic,59,דגשים משיעור משולשים,1,N/A,רמת התלמיד משולשים  < 6
פסיכומטרי,13,משולשים חזקים,atomic,119,פתרונות משולשים חזקים,1,N/A,רמת התלמיד משולשים  < 6
פסיכומטרי,13,משולשים חזקים,atomic,254,הנחיות מקבץ שאלה בודדת כללי,1,N/A,רמת התלמיד משולשים  < 6
פסיכומטרי,13,משולשים חזקים,container,12,תרגול מותאם אישית,1,Random,רמת התלמיד משולשים  < 6
פסיכומטרי,14,משולשים חלשים,atomic,12,סרטון שיעור משולשים,1,N/A,משולשים  >= 6
פסיכומטרי,14,משולשים חלשים,atomic,52,בסיס - הנחיות משולש סתמי,1,N/A,משולשים  >= 6
פסיכומטרי,14,משולשים חלשים,atomic,53,"בסיס - הנחיות מש""ש",1,N/A,משולשים  >= 6
פסיכומטרי,14,משולשים חלשים,atomic,59,דגשים משיעור משולשים,1,N/A,משולשים  >= 6
פסיכומטרי,14,משולשים חלשים,atomic,120,פתרונות משולשים חלשים,1,N/A,משולשים  >= 6
פסיכומטרי,14,משולשים חלשים,container,7,תרגול משולש סתמי,1,Predetermined,משולשים  >= 6
פסיכומטרי,14,משולשים חלשים,container,8,תרגול משולש שווה שוקיים,1,Predetermined,משולשים  >= 6
פסיכומטרי,15,מבחן פתיחה 0721,atomic,111,הנחיות מבחן פתיחה,1,N/A,NULL
