Page,Question,old_question_id,question_active,question_id,on_tasks
12,20,,,,
17,8,,,,
17,11,,,,
18,12,,,,
29,1,אח-01-29,1,402,
44,5,,,,
45,9,,,,
46,12,,,,
47,15,,,,
64,4,,,,
65,6,,,,
65,7,,,,
65,8,,,,
66,9,,,,
66,10,,,,
66,11,,,,
67,12,,,,
67,13,,,,
67,14,,,,
68,15,,,,
68,16,,,,
68,17,,,,
69,18,,,,
69,19,,,,
69,20,,,,
70,21,,,,
70,22,,,,
86,14,,,,
86,15,,,,
92,13,,,,
94,17,,,,
170,4,,,,
173,2,,,,
173,3,,,,
174,5,,,,
179,2,,,,
194,5,,,,
195,11,,,,
206,18,,,,
218,4,,,,
222,18,,,,
224,22,,,,
235,1,,,,
235,2,,,,
239,14,,,,
240,18,,,,
252,5,,,,
253,8,,,,
254,10,,,,
276,40,סח - 276 - 40,1,7487,לא בדוח
277,41,סח - 277 - 41,1,7488,לא בדוח
277,42,סח - 277 - 42,1,7489,לא בדוח
277,43,סח - 277 - 43,1,7490,לא בדוח
283,52,סח - 283 - 52,1,7499,לא בדוח
283,53,סח - 283 - 53,1,7500,לא בדוח
283,54,סח - 283 - 54,1,7501,לא בדוח
283,55,סח - 283 - 55,1,7502,לא בדוח
296,80,סח - 296 - 80,1,7586,לא בדוח
297,81,סח - 297 - 81,1,7587,לא בדוח
297,82,סח - 297 - 82,1,7588,לא בדוח
297,83,סח - 297 - 83,1,7589,לא בדוח
303,92,סח - 303 - 92,1,7606,לא בדוח
303,93,סח - 303 - 93,1,7607,לא בדוח
303,94,סח - 303 - 94,1,7608,לא בדוח
303,95,סח - 303 - 95,1,7609,לא בדוח
312,114,סח - 312 - 114,1,7644,לא בדוח
313,115,סח - 313 - 115,1,7645,לא בדוח
313,116,סח - 313 - 116,1,7646,לא בדוח
313,117,סח - 313 - 117,1,7647,לא בדוח
313,118,סח - 313 - 118,1,7648,לא בדוח
319,1,סח - 319 - 1,1,10391,לא בדוח
319,2,סח - 319 - 2,1,10392,לא בדוח
319,3,סח - 319 - 3,1,10393,לא בדוח
319,4,סח - 319 - 4,1,10394,לא בדוח
319,5,סח - 319 - 5,1,10395,לא בדוח
320,10,,,,
324,6,סח - 324 - 6,1,10401,לא בדוח
324,7,סח - 324 - 7,1,10402,לא בדוח
325,8,סח - 324 - 8,1,10403,לא בדוח
325,9,סח - 324 - 9,1,10404,לא בדוח
325,10,סח - 324 - 10,0,10405,לא בדוח
343,19,סח - 343 - 20,1,4918,0
344,22,סח - 344 - 22,0,4925,לא בדוח
346,27,סח - 346 - 27,0,4930,לא בדוח
