question_id,subject_id,main_subject,old_question_id,unique_old_question_id,active,question_type,product_category,difficulty_level,created_at,updated_at
2703,198,Sentence Completions,174,174,1,English layout,פסיכומטרי,4,2023-11-20T10:17:32.000000Z,2023-12-21T10:45:57.000000Z
1003,167,אנלוגיות,611,611,1,Numeric bullet single choice,פסיכומטרי,7,2023-09-27T09:18:31.000000Z,2023-12-04T07:25:55.000000Z
1004,167,אנלוגיות,612,612,1,Numeric bullet single choice,פסיכומטרי,7,2023-09-27T09:27:31.000000Z,2023-09-27T11:01:35.000000Z
1006,167,אנלוגיות,613,613,1,Numeric bullet single choice,פסיכומטרי,6,2023-09-27T09:33:41.000000Z,2023-09-27T11:01:04.000000Z
1010,167,אנלוגיות,614,614,1,Numeric bullet single choice,פסיכומטרי,8,2023-09-27T11:09:38.000000Z,2023-09-27T11:09:38.000000Z
1014,167,אנלוגיות,616,616,1,Numeric bullet single choice,פסיכומטרי,8,2023-09-27T11:37:20.000000Z,2023-09-27T11:37:20.000000Z
1016,167,אנלוגיות,617,617,1,Numeric bullet single choice,פסיכומטרי,4,2023-09-27T15:59:16.000000Z,2023-09-27T15:59:16.000000Z
1017,167,אנלוגיות,618,618,1,Numeric bullet single choice,פסיכומטרי,7,2023-09-27T16:08:14.000000Z,2023-09-27T16:08:14.000000Z
1018,167,אנלוגיות,620,620,1,Numeric bullet single choice,פסיכומטרי,5,2023-09-27T16:15:20.000000Z,2023-09-27T16:15:20.000000Z
1022,167,אנלוגיות,621,621,1,Numeric bullet single choice,פסיכומטרי,6,2023-09-27T16:46:04.000000Z,2023-09-27T16:46:04.000000Z
1032,167,אנלוגיות,622,622,1,Numeric bullet single choice,פסיכומטרי,6,2023-09-27T17:32:01.000000Z,2023-09-27T17:32:01.000000Z
1160,167,אנלוגיות,623,623,1,Numeric bullet single choice,פסיכומטרי,6,2023-10-01T06:41:48.000000Z,2023-12-04T07:39:17.000000Z
1161,167,אנלוגיות,625,625,1,Numeric bullet single choice,פסיכומטרי,5,2023-10-01T06:48:11.000000Z,2023-10-01T06:48:11.000000Z
1162,167,אנלוגיות,626,626,1,Numeric bullet single choice,פסיכומטרי,6,2023-10-01T06:54:33.000000Z,2023-10-01T06:54:33.000000Z
1163,167,אנלוגיות,627,627,1,Numeric bullet single choice,פסיכומטרי,7,2023-10-01T07:01:27.000000Z,2023-10-01T07:01:27.000000Z
1165,167,אנלוגיות,630,630,1,Numeric bullet single choice,פסיכומטרי,9,2023-10-01T07:36:59.000000Z,2023-12-04T07:43:50.000000Z
1168,167,אנלוגיות,632,632,1,Numeric bullet single choice,פסיכומטרי,6.5,2023-10-01T07:46:05.000000Z,2024-06-10T10:43:12.000000Z
1171,167,אנלוגיות,633,633,1,Numeric bullet single choice,פסיכומטרי,7,2023-10-01T07:53:01.000000Z,2023-10-01T07:53:01.000000Z
1174,167,אנלוגיות,634,634,1,Numeric bullet single choice,פסיכומטרי,4,2023-10-01T08:09:06.000000Z,2023-10-01T08:09:06.000000Z
1176,167,אנלוגיות,635,635,1,Numeric bullet single choice,פסיכומטרי,7,2023-10-01T08:21:16.000000Z,2023-10-01T08:21:16.000000Z
1179,167,אנלוגיות,636,636,1,Numeric bullet single choice,פסיכומטרי,6,2023-10-01T08:30:37.000000Z,2023-12-04T07:50:08.000000Z
1184,167,אנלוגיות,637,637,1,Numeric bullet single choice,פסיכומטרי,8,2023-10-01T12:18:56.000000Z,2023-10-01T12:18:56.000000Z
1185,167,אנלוגיות,681,681,1,Numeric bullet single choice,פסיכומטרי,7,2023-10-01T12:26:00.000000Z,2023-10-01T12:26:00.000000Z
1186,167,אנלוגיות,685,685,1,Numeric bullet single choice,פסיכומטרי,6,2023-10-01T12:35:58.000000Z,2023-10-01T12:35:58.000000Z
1188,167,אנלוגיות,688,688,1,Numeric bullet single choice,פסיכומטרי,2,2023-10-01T12:51:02.000000Z,2023-10-01T12:51:02.000000Z
1189,167,אנלוגיות,689,689,1,Numeric bullet single choice,פסיכומטרי,5,2023-10-01T13:01:44.000000Z,2023-10-01T13:01:44.000000Z
1216,167,אנלוגיות,691,691,1,Numeric bullet single choice,פסיכומטרי,5,2023-10-02T07:06:30.000000Z,2023-12-04T08:07:44.000000Z
1217,167,אנלוגיות,693,693,1,Numeric bullet single choice,פסיכומטרי,5,2023-10-02T07:13:42.000000Z,2023-10-02T07:13:42.000000Z
1218,167,אנלוגיות,694,694,1,Numeric bullet single choice,פסיכומטרי,7,2023-10-02T07:30:32.000000Z,2023-10-02T07:30:32.000000Z
1220,167,אנלוגיות,702,702,1,Numeric bullet single choice,פסיכומטרי,7,2023-10-02T07:48:41.000000Z,2023-10-02T07:48:41.000000Z
1221,167,אנלוגיות,705,705,1,Numeric bullet single choice,פסיכומטרי,6,2023-10-02T07:59:54.000000Z,2023-10-02T07:59:54.000000Z
1222,167,אנלוגיות,707,707,1,Numeric bullet single choice,פסיכומטרי,7,2023-10-02T08:08:16.000000Z,2023-10-02T08:08:16.000000Z
1224,167,אנלוגיות,710,710,1,Numeric bullet single choice,פסיכומטרי,7,2023-10-02T08:23:59.000000Z,2023-12-04T08:16:29.000000Z
1225,167,אנלוגיות,712,712,1,Numeric bullet single choice,פסיכומטרי,8,2023-10-02T08:31:33.000000Z,2023-10-02T08:31:33.000000Z
1237,167,אנלוגיות,731,731,1,Numeric bullet single choice,פסיכומטרי,7,2023-10-03T13:13:12.000000Z,2023-12-04T08:18:18.000000Z
1304,167,אנלוגיות,735,735,1,Numeric bullet single choice,פסיכומטרי,5,2023-10-05T06:36:58.000000Z,2023-10-05T06:36:58.000000Z
1306,167,אנלוגיות,743,743,1,Numeric bullet single choice,פסיכומטרי,6,2023-10-05T06:52:56.000000Z,2023-10-05T06:52:56.000000Z
3331,172,כללים וסידורים,1171,1171,1,Numeric bullet single choice,פסיכומטרי,3,2023-11-26T15:06:57.000000Z,2023-11-26T15:06:57.000000Z
3332,172,כללים וסידורים,1172,1172,1,Numeric bullet single choice,פסיכומטרי,4,2023-11-26T15:17:43.000000Z,2023-11-26T15:17:43.000000Z
3333,172,כללים וסידורים,1173,1173,1,Numeric bullet single choice,פסיכומטרי,3,2023-11-26T15:20:49.000000Z,2023-11-26T15:20:49.000000Z
3334,172,כללים וסידורים,1174,1174,1,Numeric bullet single choice,פסיכומטרי,4,2023-11-26T15:29:05.000000Z,2024-02-29T08:42:22.000000Z
3336,172,כללים וסידורים,1176,1176,1,Numeric bullet single choice,פסיכומטרי,4,2023-11-26T15:39:43.000000Z,2024-02-29T08:46:40.000000Z
3337,172,כללים וסידורים,1178,1178,1,Numeric bullet single choice,פסיכומטרי,8,2023-11-26T15:46:01.000000Z,2024-02-29T08:58:02.000000Z
3338,172,כללים וסידורים,1179,1179,1,Numeric bullet single choice,פסיכומטרי,7,2023-11-26T15:53:18.000000Z,2024-02-29T08:59:38.000000Z
3387,172,כללים וסידורים,1181,1181,1,Numeric bullet single choice,פסיכומטרי,9,2023-11-27T10:29:58.000000Z,2024-02-29T09:03:23.000000Z
3390,172,כללים וסידורים,1183,1183,1,Numeric bullet single choice,פסיכומטרי,7,2023-11-27T10:35:12.000000Z,2024-03-02T21:44:20.000000Z
3392,89,כלליות 1,1184,1184,1,Numeric bullet single choice,פסיכומטרי,3,2023-11-27T10:37:25.000000Z,2024-02-29T10:42:11.000000Z
3394,172,כללים וסידורים,1186,1186,1,Numeric bullet single choice,פסיכומטרי,5,2023-11-27T10:43:40.000000Z,2024-02-29T13:32:10.000000Z
3399,172,כללים וסידורים,1188,1188,1,Numeric bullet single choice,פסיכומטרי,8,2023-11-27T10:51:27.000000Z,2024-02-29T14:27:20.000000Z
3401,172,כללים וסידורים,1189,1189,1,Numeric bullet single choice,פסיכומטרי,2,2023-11-27T10:53:40.000000Z,2024-02-29T15:18:03.000000Z
3403,172,כללים וסידורים,1190,1190,1,Numeric bullet single choice,פסיכומטרי,4,2023-11-27T10:57:07.000000Z,2024-02-29T15:22:02.000000Z
3406,172,כללים וסידורים,1198,1198,1,Numeric bullet single choice,פסיכומטרי,10,2023-11-27T11:04:14.000000Z,2024-02-29T15:42:36.000000Z
2112,92,אחוזים,1201,1201,1,Numeric bullet single choice,פסיכומטרי,1,2023-11-13T16:19:24.000000Z,2024-01-04T07:38:08.000000Z
1710,68,ביטויים,1207,1207,1,Numeric bullet single choice,פסיכומטרי,1,2023-11-01T09:34:40.000000Z,2023-11-01T09:34:40.000000Z
1985,68,ביטויים,1208,1208,1,Numeric bullet single choice,פסיכומטרי,1,2023-11-04T09:44:22.000000Z,2023-12-21T05:51:33.000000Z
1984,70,התנהגות אלגברית,1209,1209,1,Numeric bullet single choice,פסיכומטרי,5,2023-11-04T09:38:48.000000Z,2024-01-09T05:41:30.000000Z
1986,67,משוואות,1217,1217,1,Numeric bullet single choice,פסיכומטרי,3,2023-11-04T09:50:10.000000Z,2023-11-27T13:32:49.000000Z
1901,74,חלוקה,1221,1221,1,Numeric bullet single choice,פסיכומטרי,4,2023-11-02T13:23:42.000000Z,2023-11-02T13:23:42.000000Z
1987,70,התנהגות אלגברית,1222,1222,1,Numeric bullet single choice,פסיכומטרי,1,2023-11-04T09:54:32.000000Z,2024-01-09T05:44:10.000000Z
1902,74,חלוקה,1223,1223,1,Numeric bullet single choice,פסיכומטרי,4,2023-11-02T13:25:25.000000Z,2024-01-27T14:30:40.000000Z
1711,70,התנהגות אלגברית,1224,1224,1,Numeric bullet single choice,פסיכומטרי,4.5,2023-11-01T09:52:54.000000Z,2023-12-20T10:15:17.000000Z
1903,74,חלוקה,1225,1225,1,Numeric bullet single choice,פסיכומטרי,2,2023-11-02T13:27:09.000000Z,2023-11-02T13:27:09.000000Z
1988,70,התנהגות אלגברית,1226,1226,1,Numeric bullet single choice,פסיכומטרי,3,2023-11-04T10:03:56.000000Z,2024-01-09T05:50:42.000000Z
1833,73,שלמים,1249,1249,1,Numeric bullet single choice,פסיכומטרי,4,2023-11-02T08:15:13.000000Z,2023-11-02T08:15:13.000000Z
1989,70,התנהגות אלגברית,1254,1254,1,Numeric bullet single choice,פסיכומטרי,3,2023-11-04T10:08:12.000000Z,2024-01-09T05:56:10.000000Z
1835,73,שלמים,1257,1257,1,Numeric bullet single choice,פסיכומטרי,6,2023-11-02T08:18:18.000000Z,2023-11-02T08:18:18.000000Z
1904,73,שלמים,1258,1258,1,Numeric bullet single choice,פסיכומטרי,5,2023-11-02T13:37:39.000000Z,2023-11-02T13:37:39.000000Z
1905,73,שלמים,1259,1259,1,Numeric bullet single choice,פסיכומטרי,3,2023-11-02T13:39:28.000000Z,2023-11-02T13:39:28.000000Z
1906,73,שלמים,1260,1260,1,Numeric bullet single choice,פסיכומטרי,1,2023-11-02T13:42:05.000000Z,2023-11-02T13:42:05.000000Z
1907,73,שלמים,1261,1261,1,Numeric bullet single choice,פסיכומטרי,1,2023-11-02T13:43:32.000000Z,2024-01-23T12:47:01.000000Z
1908,74,חלוקה,1262,1262,1,Numeric bullet single choice,פסיכומטרי,4,2023-11-02T13:47:06.000000Z,2023-11-02T13:47:06.000000Z
2176,97,הסתברות,1263,1263,1,Numeric bullet single choice,פסיכומטרי,1,2023-11-14T17:47:46.000000Z,2024-01-25T09:25:22.000000Z
2506,95,הספק,1264,1264,1,Numeric bullet single choice,פסיכומטרי,3.5,2023-11-17T08:21:09.000000Z,2024-01-16T12:38:57.000000Z
2469,94,תנועה,1265,1265,1,Numeric bullet single choice,פסיכומטרי,4,2023-11-17T07:13:25.000000Z,2024-03-27T09:26:51.000000Z
2296,93,ממוצע,1266,1266,1,Numeric bullet single choice,פסיכומטרי,6,2023-11-16T09:30:47.000000Z,2024-01-04T14:12:29.000000Z
1590,91,יחס,1267,1267,1,Numeric bullet single choice,פסיכומטרי,3,2023-10-30T12:16:45.000000Z,2023-12-28T09:23:45.000000Z
2051,91,יחס,1269,1269,1,Numeric bullet single choice,פסיכומטרי,4,2023-11-05T07:49:38.000000Z,2023-11-05T07:49:38.000000Z
2474,94,תנועה,1271,1271,1,Numeric bullet single choice,פסיכומטרי,2,2023-11-17T07:20:27.000000Z,2023-11-17T07:20:27.000000Z
2177,97,הסתברות,1272,1272,1,Numeric bullet single choice,פסיכומטרי,5.5,2023-11-14T17:51:19.000000Z,2024-01-25T09:27:52.000000Z
2476,94,תנועה,1273,1273,1,Numeric bullet single choice,פסיכומטרי,7,2023-11-17T07:23:35.000000Z,2024-01-11T14:28:11.000000Z
2114,92,אחוזים,1274,1274,1,Numeric bullet single choice,פסיכומטרי,3,2023-11-13T16:26:17.000000Z,2024-01-04T07:52:37.000000Z
2478,94,תנועה,1277,1277,1,Numeric bullet single choice,פסיכומטרי,6,2023-11-17T07:26:16.000000Z,2024-01-11T14:27:28.000000Z
1909,73,שלמים,1279,1279,1,Numeric bullet single choice,פסיכומטרי,3,2023-11-02T13:52:58.000000Z,2024-01-23T12:48:31.000000Z
1990,71,חיובי שלילי וערך מוחלט,1279,1280,1,Numeric bullet single choice,פסיכומטרי,2,2023-11-04T10:12:28.000000Z,2023-11-04T10:12:28.000000Z
1910,73,שלמים,1280,1284,1,Numeric bullet single choice,פסיכומטרי,4,2023-11-02T13:56:46.000000Z,2024-01-23T12:49:37.000000Z
1991,67,משוואות,1284,1285,1,Numeric bullet single choice,פסיכומטרי,1.5,2023-11-04T10:15:28.000000Z,2023-11-27T14:11:20.000000Z
1992,70,התנהגות אלגברית,1285,1287,1,Numeric bullet single choice,פסיכומטרי,1.5,2023-11-04T10:18:00.000000Z,2024-01-11T08:24:04.000000Z
1858,67,משוואות,1287,1288,1,Numeric bullet single choice,פסיכומטרי,1,2023-11-02T09:17:09.000000Z,2023-11-27T15:15:07.000000Z
1860,67,משוואות,1288,1292,1,Numeric bullet single choice,פסיכומטרי,1,2023-11-02T09:26:11.000000Z,2025-03-12T13:13:38.000000Z
1712,68,ביטויים,1292,1294,1,Numeric bullet single choice,פסיכומטרי,2,2023-11-01T10:04:06.000000Z,2023-11-01T10:04:06.000000Z
1714,68,ביטויים,1294,1295,1,Numeric bullet single choice,פסיכומטרי,2,2023-11-01T10:16:33.000000Z,2023-12-21T05:58:01.000000Z
1715,68,ביטויים,1295,1296,1,Numeric bullet single choice,פסיכומטרי,3,2023-11-01T10:20:40.000000Z,2023-12-21T05:58:46.000000Z
5837,68,ביטויים,1296,1297,1,Numeric bullet single choice,פסיכומטרי,2.5,2023-12-26T07:21:29.000000Z,2024-02-23T12:14:39.000000Z
1718,68,ביטויים,1297,1298,1,Numeric bullet single choice,פסיכומטרי,5,2023-11-01T10:31:52.000000Z,2024-03-17T11:19:56.000000Z
1993,68,ביטויים,1298,1300,1,Numeric bullet single choice,פסיכומטרי,2,2023-11-04T10:24:53.000000Z,2023-11-04T10:24:53.000000Z
1994,70,התנהגות אלגברית,1300,1302,1,Numeric bullet single choice,פסיכומטרי,3,2023-11-04T10:28:36.000000Z,2024-01-11T08:25:12.000000Z
1995,69,אי-שוויון,1302,1303,1,Numeric bullet single choice,פסיכומטרי,4,2023-11-04T10:41:08.000000Z,2024-01-11T12:30:13.000000Z
1996,70,התנהגות אלגברית,1303,1305,1,Numeric bullet single choice,פסיכומטרי,3.5,2023-11-04T10:45:24.000000Z,2024-01-11T08:24:44.000000Z
1998,71,חיובי שלילי וערך מוחלט,1305,1306,1,Numeric bullet single choice,פסיכומטרי,1,2023-11-04T10:56:03.000000Z,2024-01-27T06:57:39.000000Z
1999,70,התנהגות אלגברית,1306,1307,1,Numeric bullet single choice,פסיכומטרי,5,2023-11-04T11:06:55.000000Z,2024-01-11T09:00:55.000000Z
2000,73,שלמים,1307,1308,1,Numeric bullet single choice,פסיכומטרי,4,2023-11-04T11:18:58.000000Z,2024-01-23T12:51:52.000000Z
2001,71,חיובי שלילי וערך מוחלט,1308,1311,1,Numeric bullet single choice,פסיכומטרי,1,2023-11-04T11:21:36.000000Z,2024-01-27T06:58:44.000000Z
1911,73,שלמים,1311,1312,1,Numeric bullet single choice,פסיכומטרי,5,2023-11-02T14:00:00.000000Z,2024-01-23T12:53:11.000000Z
2002,70,התנהגות אלגברית,1311,1313,1,Numeric bullet single choice,פסיכומטרי,4,2023-11-04T11:24:43.000000Z,2024-01-11T09:10:43.000000Z
1837,74,חלוקה,1312,1314,1,Numeric bullet single choice,פסיכומטרי,3,2023-11-02T08:21:52.000000Z,2023-11-02T08:21:52.000000Z
1839,73,שלמים,1313,1315,1,Numeric bullet single choice,פסיכומטרי,3,2023-11-02T08:24:36.000000Z,2023-11-02T08:24:36.000000Z
1840,74,חלוקה,1314,1316,1,Numeric bullet single choice,פסיכומטרי,3,2023-11-02T08:27:02.000000Z,2023-11-02T08:27:02.000000Z
1842,73,שלמים,1315,1317,1,Numeric bullet single choice,פסיכומטרי,3,2023-11-02T08:29:56.000000Z,2023-11-02T08:29:56.000000Z
1844,73,שלמים,1316,1320,1,Numeric bullet single choice,פסיכומטרי,4,2023-11-02T08:38:04.000000Z,2025-02-12T07:01:49.000000Z
1852,73,שלמים,1317,1321,1,Numeric bullet single choice,פסיכומטרי,4,2023-11-02T09:05:33.000000Z,2023-11-02T09:05:33.000000Z
1935,73,שלמים,1320,1322,1,Numeric bullet single choice,פסיכומטרי,4,2023-11-02T17:12:34.000000Z,2023-11-02T17:12:34.000000Z
1936,73,שלמים,1321,1323,1,Numeric bullet single choice,פסיכומטרי,3,2023-11-02T17:14:36.000000Z,2023-11-02T17:14:36.000000Z
